grid_code,min_lon,max_lon,min_lat,max_lat,intersects_manhattan,has_sensor,sensor_list
0@0,-74.04353,-74.03853000000001,40.6529165,40.657916500000006,False,False,[]
0@1,-74.04353,-74.03853000000001,40.657916500000006,40.66291650000001,False,False,[]
0@2,-74.04353,-74.03853000000001,40.6629165,40.667916500000004,False,False,[]
0@3,-74.04353,-74.03853000000001,40.667916500000004,40.67291650000001,False,False,[]
0@4,-74.04353,-74.03853000000001,40.67291650000001,40.67791650000001,False,False,[]
0@5,-74.04353,-74.03853000000001,40.6779165,40.682916500000005,False,False,[]
0@6,-74.04353,-74.03853000000001,40.682916500000005,40.68791650000001,False,False,[]
0@7,-74.04353,-74.03853000000001,40.6879165,40.6929165,True,False,[]
0@8,-74.04353,-74.03853000000001,40.6929165,40.697916500000005,True,False,[]
0@9,-74.04353,-74.03853000000001,40.697916500000005,40.70291650000001,True,False,[]
0@10,-74.04353,-74.03853000000001,40.7029165,40.7079165,False,False,[]
0@11,-74.04353,-74.03853000000001,40.7079165,40.712916500000006,False,False,[]
0@12,-74.04353,-74.03853000000001,40.712916500000006,40.71791650000001,False,False,[]
0@13,-74.04353,-74.03853000000001,40.7179165,40.722916500000004,False,False,[]
0@14,-74.04353,-74.03853000000001,40.722916500000004,40.727916500000006,False,False,[]
0@15,-74.04353,-74.03853000000001,40.727916500000006,40.73291650000001,False,False,[]
0@16,-74.04353,-74.03853000000001,40.7329165,40.737916500000004,False,True,[28285]
0@17,-74.04353,-74.03853000000001,40.737916500000004,40.74291650000001,False,False,[]
0@18,-74.04353,-74.03853000000001,40.74291650000001,40.74791650000001,False,False,[]
0@19,-74.04353,-74.03853000000001,40.7479165,40.752916500000005,False,False,[]
0@20,-74.04353,-74.03853000000001,40.752916500000005,40.75791650000001,False,False,[]
0@21,-74.04353,-74.03853000000001,40.7579165,40.7629165,False,False,[]
0@22,-74.04353,-74.03853000000001,40.7629165,40.767916500000005,False,False,[]
0@23,-74.04353,-74.03853000000001,40.767916500000005,40.77291650000001,False,False,[]
0@24,-74.04353,-74.03853000000001,40.7729165,40.7779165,False,False,[]
0@25,-74.04353,-74.03853000000001,40.7779165,40.782916500000006,False,False,[]
0@26,-74.04353,-74.03853000000001,40.782916500000006,40.78791650000001,False,False,[]
0@27,-74.04353,-74.03853000000001,40.7879165,40.792916500000004,False,False,[]
0@28,-74.04353,-74.03853000000001,40.792916500000004,40.79791650000001,False,False,[]
0@29,-74.04353,-74.03853000000001,40.79791650000001,40.80291650000001,False,False,[]
0@30,-74.04353,-74.03853000000001,40.8029165,40.807916500000005,False,False,[]
0@31,-74.04353,-74.03853000000001,40.807916500000005,40.81291650000001,False,False,[]
0@32,-74.04353,-74.03853000000001,40.8129165,40.8179165,False,False,[]
0@33,-74.04353,-74.03853000000001,40.8179165,40.822916500000005,False,False,[]
0@34,-74.04353,-74.03853000000001,40.822916500000005,40.82791650000001,False,False,[]
0@35,-74.04353,-74.03853000000001,40.8279165,40.8329165,False,False,[]
0@36,-74.04353,-74.03853000000001,40.8329165,40.837916500000006,False,False,[]
0@37,-74.04353,-74.03853000000001,40.837916500000006,40.84291650000001,False,False,[]
0@38,-74.04353,-74.03853000000001,40.8429165,40.847916500000004,False,False,[]
0@39,-74.04353,-74.03853000000001,40.847916500000004,40.852916500000006,False,False,[]
0@40,-74.04353,-74.03853000000001,40.852916500000006,40.85791650000001,False,False,[]
0@41,-74.04353,-74.03853000000001,40.8579165,40.862916500000004,False,False,[]
0@42,-74.04353,-74.03853000000001,40.862916500000004,40.86791650000001,False,False,[]
0@43,-74.04353,-74.03853000000001,40.86791650000001,40.87291650000001,False,False,[]
0@44,-74.04353,-74.03853000000001,40.8729165,40.877916500000005,False,False,[]
0@45,-74.04353,-74.03853000000001,40.877916500000005,40.88291650000001,False,False,[]
0@46,-74.04353,-74.03853000000001,40.8829165,40.8879165,False,False,[]
0@47,-74.04353,-74.03853000000001,40.8879165,40.892916500000005,False,False,[]
0@48,-74.04353,-74.03853000000001,40.892916500000005,40.89791650000001,False,False,[]
0@49,-74.04353,-74.03853000000001,40.8979165,40.9029165,False,False,[]
1@0,-74.03853000000001,-74.03353000000001,40.6529165,40.657916500000006,False,False,[]
1@1,-74.03853000000001,-74.03353000000001,40.657916500000006,40.66291650000001,False,False,[]
1@2,-74.03853000000001,-74.03353000000001,40.6629165,40.667916500000004,False,False,[]
1@3,-74.03853000000001,-74.03353000000001,40.667916500000004,40.67291650000001,False,False,[]
1@4,-74.03853000000001,-74.03353000000001,40.67291650000001,40.67791650000001,False,False,[]
1@5,-74.03853000000001,-74.03353000000001,40.6779165,40.682916500000005,False,False,[]
1@6,-74.03853000000001,-74.03353000000001,40.682916500000005,40.68791650000001,False,False,[]
1@7,-74.03853000000001,-74.03353000000001,40.6879165,40.6929165,False,False,[]
1@8,-74.03853000000001,-74.03353000000001,40.6929165,40.697916500000005,False,False,[]
1@9,-74.03853000000001,-74.03353000000001,40.697916500000005,40.70291650000001,True,False,[]
1@10,-74.03853000000001,-74.03353000000001,40.7029165,40.7079165,False,False,[]
1@11,-74.03853000000001,-74.03353000000001,40.7079165,40.712916500000006,False,False,[]
1@12,-74.03853000000001,-74.03353000000001,40.712916500000006,40.71791650000001,False,False,[]
1@13,-74.03853000000001,-74.03353000000001,40.7179165,40.722916500000004,False,False,[]
1@14,-74.03853000000001,-74.03353000000001,40.722916500000004,40.727916500000006,False,False,[]
1@15,-74.03853000000001,-74.03353000000001,40.727916500000006,40.73291650000001,False,False,[]
1@16,-74.03853000000001,-74.03353000000001,40.7329165,40.737916500000004,False,False,[]
1@17,-74.03853000000001,-74.03353000000001,40.737916500000004,40.74291650000001,False,False,[]
1@18,-74.03853000000001,-74.03353000000001,40.74291650000001,40.74791650000001,False,False,[]
